,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
3967,FRIOVIX COMERCIO DE REFRIGERACAO LTDA,J,"ROD FERNAO DIAS,",EXTREMA / MG,3132706555,09.316.105/0016-05,17946560168,,BAIRRO DO JARDIM,KM 937 GALPAO300 - A,37640000,Ativo / Ativo,contabilidade@friopecas.com.br,,
3969,CAMISARIA USO.COM LTDA,J,"R PADRE JOSE HERIONS,281",ROLANDIA / PR,4432554850,53.979.769/0001-60,9105497315,,JARDIM ALTO DA BOA VISTA,,86600198,Ativo / Inativo,camisariauso@gmail.com,,
3970,L S E A H P DE SA FILHO LTDA,J,"AV HOMERO CASTELO BRANCO,1036",TERESINA / PI,8632215777,49.091.205/0001-19,197306845,,SAO CRISTOVAO,,64048400,Ativo / Inativo,jademardantas@hotmail.com,,
3971,KAMDESH CONFECCOES LTDA,J,"RUA JOAO JOSE DE GUIMARAES,1034",SOMBRIO / SC,4835832082,13.053.536/0001-17,256383987,,CENTRO,,88960000,Ativo / Inativo,rhtripsurf@outlook.com,,
3972,LEAO ROUPAS E ACESSORIOS LTDA,J,"R JULIO PEREIRA DA SILVA,24",BELO HORIZONTE / MG,31999054726,38.417.260/0001-30,38366000044,,CIDADE NOVA,,31170360,Ativo / Ativo,stock.cidadenova@gmail.com,,
3973,ANA VERONICA DOS SANTOS,F,"R ANTONIO ROCHA,415",PARA DE MINAS / MG,31985221589,015.724.606-01,MG14570083,,DOM BOSCO,APTO 505,35661216,Ativo / Ativo,anaveronica14@hotmail.com,,
3975,DIVISORIAS E FORROS UAI LTDA,J,"R VITAL BRASIL,159",BELO HORIZONTE / MG,3134929414,06.313.625/0001-90,623250360073,,JARAGUA,,31270190,Ativo / Ativo,uai@uaidivisorias.com.br,,
3976,PADARIA DA PROMESSA LTDA,J,"R RAIMUNDO DUQUE DE ALMEIDA,155",PARA DE MINAS / MG,37999159149,54.090.829/0001-51,48323550085,,GRAO PARA,PADARIA,35660256,Ativo / Ativo,fortecontabilidadepm@gmai.com,,
3977,HANAS TEXTIL LTDA,J,"AV C,",APARECIDA DE GOIANIA / GO,6239424199,36.526.378/0001-70,107913445,,POLO EMPRESARIAL GOIAS,QUADRA 20    LOTE  03 GALPAO 01,74985105,Ativo / Ativo,hanastextil@gmail.com,,
3978,EMPATIA TEXTIL LTDA,J,"AV MARGINAL NORTE,0",GOIANIA / GO,6294526832,39.954.066/0001-56,108200264,,SETOR CAMPINAS,QUADRAB-1 VM              LOTE  01,74523320,Ativo / Ativo,empatiaimportacao@gmail.com,,
3979,ALEX SANDRO CIPOLLI 14392315835,J,"R XAVANTES 719,719",SAO PAULO / SP,1130047792,48.708.677/0001-05,138240161118,,BRAS,SALA 1025,3027900,Ativo / Ativo,marcopaulocipolli@gmail.com,,
3980,JOSE ANTONIO ALVES DE OLIVEIRA,J,"RUA LOLON MENDES,78",ESPINOSA / MG,11951293385,50.212.384/0001-84,45877320050,,SAO CRISTOVAO,,39510000,Ativo / Ativo,marcopaulocipolli@gmail.com,,
3981,AUTO POSTO MR LTDA,J,"AV PROFESSOR MELLO CANCADO,521",PARA DE MINAS / MG,3732364500,05.835.706/0001-97,4712493620050,,SAO JOSE,,35660084,Ativo / Ativo,julio@preconta.com.br,,
3982,WARUSKY COM IND E REPRESENTACOES LTDA,J,"R GUSTAVO KOHLER,45",BRUSQUE / SC,4732512790,79.674.297/0001-20,251418880,,SOUZA CRUZ,,88354460,Ativo / Inativo,cadastro@warusky.com.br,,
3984,TBM SA INDUSTRIA TEXTIL,J,"AV AVENIDA BERNARDO MANUEL,9981",FORTALEZA / CE,8540129100,07.603.376/0001-30,60144637,,PARQUE DOIS IRMAOS,A,60761281,Ativo / Ativo,tbmtextil@tbmtextil.com.br,,
3985,CASA DOS PARAFUSOS PARA DE MINAS LTDA,J,"AV PROFESSOR MELLO CANCADO,434",PARA DE MINAS / MG,37999099241,45.525.911/0001-70,42848270098,,SAO JOSE,LJ 01,35660572,Ativo / Ativo,mara@mmjcontabilidade.com.br,,
3986,L.S LOCAL SURF COM E CONF LTDA,J,"R MARIA JOAQUINA,197",SAO PAULO / SP,1126935143,10.968.343/0002-89,118124991114,,BRAS,,3016010,Ativo / Ativo,fatima@localsurf.com,,
3987,LOCK INDUSTRIA E COMERCIO DE ROUPAS LTDA,J,"AL CAPIM PUBA,561",GOIANIA / GO,62983044649,16.732.327/0001-98,105424978,,SET MARECHAL RONDON,QUADRA02                  LOTE  04,74560371,Ativo / Inativo,lock.adm10@gmail.com,,
3988,GOLFE CONFECCOES LTDA,J,"R BENJAMIN CONSTANT,63",RIBEIRAO PRETO / SP,1635193030,05.408.519/0001-27,582635700112,,CAMPOS ELISEOS,,14085240,Ativo / Inativo,adm@golfeclass.com.br,,
3992,LIZT TRAMA IND E COM DE CONFECCOES LTDA,J,"R UBER FOLCHINE,620",SAO JOSE DO RIO PRETO / SP,17997885621,02.759.170/0001-80,647297352115,,PARQUE INDUSTRIAL CAMPO VERDE,640,15076155,Ativo / Inativo,tramajeans10@gmail.com,,
3993,F N OLIVEIRA COMERCIO DE TECIDOS LTDA,J,"R ANIBAL JOSE DE MELLO,2",CACHOEIRO DE ITAPEMIRIM / ES,2835118362,10.631.856/0002-08,84035986,,BOA ESPERANCA,SETOR 01,29312402,Ativo / Inativo,nfevarejaodostecidos@gmail.com,,
3996,ROLTY FOR MAN IND E COM DE ROUPAS LTDA,J,"RUA PERIMETRAL,0",SANTO ANTONIO DE GOIAS / GO,62985877059,30.278.161/0001-02,107273934,,SETOR SUL,QUADRA 8,LOTE 2,75375000,Ativo / Ativo,,
3997,CONFECCOES NEW TYPE LTDA,J,"RUA ANITA GARIBALDI,48",LAGUNA / SC,48992110180,76.852.409/0001-06,251020053,,CENTRO,,88790000,Ativo / Inativo,compras@ntdenim.com.br,,
3998,51.401.244 ANDREIA RIBEIRO GUNDIM,J,"R JOAO TEODORO,1122",SAO PAULO / SP,11999169400,51.401.244/0001-17,121995892113,,BRAS,BOX 125-T,3009000,Ativo / Ativo,andreia_gundin@yahoo.com.br,,
3999,50.142.101 NEUZELITA NUNES SILVA,J,"R ESMERALDA ATE 479/480,454",BELO HORIZONTE / MG,3198945979,50.142.101/0001-75,45832880021,,PRADO,,30411137,Ativo / Inativo,morinhanunes@gmail.com,,
4000,LOCALIZA RENT A CAR SA,J,"AV PROFESSOR MELLO CANCADO,33",PARA DE MINAS / MG,8009792020,16.670.085/0929-20,ISENTO,,SAO JOSE,,35660573,Ativo / Ativo,assistenciaaclientes@localiza.com,,
4001,MB2M CONFECCOES LTDA,J,"R CORONEL JOAQUIM ALVES,626",BATATAIS / SP,16991766023,35.000.794/0001-78,208133251110,,CENTRO,,14300043,Ativo / Inativo,cristinaguicardi@gmail.com,,
4002,BESERRA GONCALVES CONFECCOES LTDA,J,"AV MONSENHOR TABOSA,445",FORTALEZA / CE,85996878149,52.372.228/0001-06,71553738,,PRAIA DE IRACEMA,,60165011,Ativo / Inativo,hookewave@gmail.com,,
4003,GODOI VAPOR LTDA,J,"R FRANCISCO INACIO MEDEIROS,34",ITAUNA / MG,3732421037,05.767.564/0001-78,10784770069,,RESIDENCIAL SANTANENSE,,35681307,Ativo / Ativo,jrcontabilidade@nwnet.com.br,,
4004,CAMPOS E CAMPOS LTDA,J,"R JOSE DO PRADO FRANCO,473",ARACAJU / SE,7921054861,32.763.013/0002-90,270967230,,CENTRO,,49010110,Ativo / Inativo,juniorimperador@infonet.com.br,,
4005,VALDESIO LIMA SILVA,J,"R 11 (CJ JEREISSATI I),625",MARACANAU / CE,85996285021,09.182.534/0001-50,63549433,,JEREISSATI I,SLJ   TERREO E ALTOS,61900280,Ativo / Inativo,dcmenswear2016@hotmail.com,,
4006,TDB TEXTIL LTDA,J,"AV THOMAS EDISON,961",SAO PAULO / SP,1136136866,60.579.422/0001-95,109990644114,,BARRA FUNDA,ANEXO 941,1140001,Ativo / Ativo,fiscal@tiptop.com.br,,
4007,COMERCIAL KOJAK LTDA,J,"RUA DR. EDGARD P. DIAS,55",ITAPERUNA / RJ,2238234348,21.387.541/0002-75,11392733,,CIDADE NOVA,ANEXO N 47,28300000,Ativo / Ativo,angelatex-9@outlook.com,,
4008,19.938.971 GOURA CANDRA DA SILVA,J,"R GIOVANNI PISANO,300",PALHOCA / SC,48984261235,19.938.971/0001-05,262543990,,ARIRIU,APT 403,88135432,Ativo / Ativo,gourags@gmail.com,,
4009,VAZ VIGILANCIA PATRIMONIAL LTDA,J,"R PROFESSORA EDITE DE MELO GUIMARAES,201",PARA DE MINAS / MG,37984168721,47.718.974/0001-79,45150290033,,SAO LUIZ,SALA 410,35661199,Ativo / Ativo,aguiarservicos85@hotmail.com,,
4010,ANAYRAM CONFECCOES LTDA,J,"RUA MATO GROSSO,0",GAUCHA DO NORTE / MT,62986288681,04.960.328/0001-00,137402287,,CENTRO,LOTE  01                  QUADRA131,78875000,Ativo / Ativo,magazinealfa.financeiro@gmail.com,,
4011,DIEGO DO VALE SANTOS,J,"R DOS PALMARES,56",CARUARU / PE,8199153812,27.968.519/0001-14,72460725,,UNIVERSITARIO,,55016450,Ativo / Ativo,hamsterdenim@hotmail.com,,
4012,H.G.G BABY LTDA,J,"RUA LILIOZA SILVANA AMORIM,0",CUPIRA / PE,81989674151,49.113.494/0001-00,108339270,,PORTAL DA FE,,55460000,Ativo / Ativo,humbertodelima@hotmail.com,,
4013,43.254.735 DELIS DE OLIVEIRA BASTOS,J,"RUA MIGUEL SURMANI,200",IRAPUA / SP,17996567907,43.254.735/0001-54,363023809111,,RECANTO DO BRAZ,,14990000,Ativo / Inativo,delisoliv@gmail.com,,
4014,GLORIASCLOSET COMERCIO DE VESTUARIO LTDA,J,"AV ANISIO HADDAD,8001",SAO JOSE DO RIO PRETO / SP,17996762363,29.091.250/0001-66,647915613113,,GEORGINA BUSINESS PARK,BLOCO A MADRI 1 SALA 104,15091751,Ativo / Ativo,mayara@gloriascloset.com.br,,
4015,GENERALLE IND E COM DE CONFECCOES LTDA,J,"AV TAMBORE,1113",BARUERI / SP,1121108405,20.794.054/0002-64,206363729112,,TAMBORE,,6460000,Ativo / Ativo,financeiro@generalle.com.br,,
4017,MASTERCORP DO BRASIL LTDA,J,"R MARIA DE SOUZA COELHO,15",CURITIBA / PR,4132881130,03.586.159/0002-09,9028325131,,CIDADE INDUSTRIAL,,81450585,Ativo / Ativo,mastercorp@mastercorp.com.br,,
4018,BH MADEIRAS LTDA,J,"R PARAOQUENA,105",BELO HORIZONTE / MG,3133718100,25.168.386/0001-76,625917370078,,NOVA GRANADA,,30431420,Ativo / Ativo,mirandacontab@hotmail.com,,
4019,GUSTAVO TEODORO MAIRINQUES,J,"AV SINFRONIO BROCHADO,80",BELO HORIZONTE / MG,31992409666,54.403.314/0001-64,ISENTO,,BARREIRO,,30640000,Ativo / Ativo,gustavo.mairinques@hotmail.com,,
4020,EMPORIO DOS TECIDOS LTDA,J,"R SETE DE SETEMBRO,32",VITORIA DA CONQUISTA / BA,7335257547,44.741.341/0003-55,196691010,,CENTRO,LOJA,45000540,Ativo / Inativo,servicoll@bol.com.br,,
4021,JOSE RONALDO DE FARIA,F,"RUA FAZENDA BOA ESPERANCA,",CORREGO DANTA / MG,3732362787,887.121.846-91,MG6581586,,SERTAOZINHO,,38990000,Ativo / Ativo,contabilidadesinai@hotmail.com,,
4022,JOSE RONALDO DE FARIA CPF: 887.121.846-91,J,"AV GENESIO FONSECA E SILVA,89",PARA DE MINAS / MG,3732362787,06.238.116/0001-40,4712898470062,,DISTRITO INDUSTRIAL PREFEITO ANTONIO JULIO FARIA,,35660250,Ativo / Ativo,contabilidadesinai@hotmail.com,,
4023,GRAFICA E EDITORA EXPRESSA LTDA,J,"R PETROLINA,815",BELO HORIZONTE / MG,3134810688,64.428.337/0001-87,627052880040,,SAGRADA FAMILIA,LETRA A,31030370,Ativo / Ativo,rcebimentos@bigrafica.com.br,,
4024,CONEXAO-BAHIA TRANSPORTES DE CARGA LTDA,J,"R ANTONIO FERREIRA DA CRUZ,195",BELO HORIZONTE / MG,3134514720,03.119.616/0004-17,620947760074,,SAO PEDRO,,31610140,Ativo / Ativo,zeniltonr@outlook.com,,
4025,54.290.326 CRISTIANE ISIDORO FERRAZ,J,"R NELSON FREITAS,814",SAO JOSE DO RIO PRETO / SP,17981002044,54.290.326/0001-20,135574982119,,PARQUE RESIDENCIAL LAURIANO TEBAR,,15040365,Ativo / Ativo,cristianeisidoro@hotmail.com,,
4026,LASERPRO GRAVACAO E BRINDES LTDA,J,"R JOAQUIM MONTEIRO,507",BELO HORIZONTE / MG,31984973233,49.612.657/0001-07,45499770034,,HAVAI,,30570240,Ativo / Ativo,processos@obviacontabil.com,,
4030,RUNNING CONFECCOES LIMITADA,J,"R TIROL,136",RIO DE JANEIRO / RJ,2124479080,28.757.458/0001-09,82468773,,FREGUESIA (JACAREPAGUA),,22750009,Ativo / Ativo,jcmalhassousa@gmail.com,,
4031,FORMIGA E OLIVEIRA LTDA,J,"R PRESIDENTE LEAO VELOSO,924",NATAL / RN,8391061659,24.201.772/0001-50,204451744,,ALECRIM,,59032500,Ativo / Inativo,cal.reptextil@gmail.com,,
4033,VALETE CONSULTORIA EM MODA LTDA,J,"R CAPITAO JOAO ALVES DE LIRA,467",CAMPINA GRANDE / PB,83991321492,10.949.832/0001-02,160364949,,PRATA,CXPST V003,58400560,Ativo / Ativo,pedidos.valettinho@gmail.com,,
4034,J G SILVA COMERCIO DE TECIDOS LTDA,J,"R TREZE DE MAIO,28",BELEM / PA,9132120356,52.736.787/0001-58,159240859,,CAMPINA,ALTOS,66013080,Ativo / Ativo,lodike28@gmail.com,,
4035,SALVIANO TEXTIL LTDA,J,"R LUIZA GERMANA DIAS,183",GOIANIA / GO,62996356365,49.466.348/0001-68,200075195,,BRO GOIA 2,QUADRA46                  LOTE  09                  SALA  01,74485450,Ativo / Inativo,franklin@grupolps.com.br,,
4036,VERSATT COMERCIO VAREJISTA LTDA,J,"R TEN FERREIRA MALDOS,283",PARNAMIRIM / RN,84988942453,01.786.180/0001-41,200780174,,CENTRO,,59140220,Ativo / Inativo,danyelleps.moraes@gmail.com,,
4038,SOUFER IMPORTACAO TEXTIL LTDA.,J,"R DEZ DE OUTUBRO,471",DIVINOPOLIS / MG,37998246675,46.366.625/0001-72,43400480045,,IPIRANGA,,35502044,Ativo / Inativo,financeiro1gestaoempresarial@gmail.com,,
4039,NEVES COMERCIO DE ETIQUETAS ADESIVAS LTDA.,J,"R SAO SERAPIAO,362",SAO PAULO / SP,1126287078,10.847.855/0001-06,148613100119,,VILA RE,,3664000,Ativo / Ativo,contabilidadealvarenga@yahoo.com.br,,
4040,LESTO CONFECCOES LTDA,J,"R BRESSER,414",SAO PAULO / SP,11998752171,58.418.377/0001-45,111959670110,,BRAS,ANEXO 416,3017000,Ativo / Inativo,lestoconf@gmail.com,,
4041,REAL CAMBIO TURISMO LTDA,J,"AV SANTOS DUMONT,744",BELO HORIZONTE / MG,3135663882,34.611.163/0001-22,39674310053,,CENTRO,,30111040,Ativo / Ativo,realcambioturismo@gmail.com,,
4042,JUST DENIM CONFECCOES LTDA,J,"R XAVANTES,704",SAO PAULO / SP,1126121550,20.424.581/0001-04,126342568116,,BRAS,TERREO706,3027000,Ativo / Ativo,just.denim.pedidos@gmail.com,,
4043,SANDRA FATIMA FERREIRA 04893385690,J,"R TEIXEIRA MENDES,181",BELO HORIZONTE / MG,3191342588,25.153.764/0001-48,27912470085,,CIDADE JARDIM,,30380170,Ativo / Inativo,erikatothy@yahoo.com.br,,
4044,53.817.975 MARIA EDUARDA PASSERANI NASCIMENTO,J,"R NORUEGA,2344",SANTA BARBARA DOESTE / SP,19981701192,53.817.975/0001-73,606427697117,,JARDIM CANDIDO BERTINI,,13455186,Ativo / Inativo,madupasserani2020@gmail.com,,
4045,OURO VERDE CHEMICALS LTDA.,J,"AV PAPA JOAO XXIII,4584",MAUA / SP,1143673199,05.454.162/0001-13,442283946114,,VILA NOEMIA,,9370800,Ativo / Ativo,edson@contage.com.br,,
4046,CAPITAL COMERCIO DE TECIDOS LTDA,J,"R SANTA LUZIA,190",GOIANIA / GO,62996512944,10.369.424/0001-81,104357339,,SETOR CAMPINAS,QUADRA121                 LOTE  01,74525040,Ativo / Ativo,capitaltextil@gmail.com,,
4047,BRAZILIAN VENTO DOS MARES MODAS LTDA.,J,"EST DO PORTELA,99",RIO DE JANEIRO / RJ,21986367020,13.493.107/0001-60,79350559,,MADUREIRA,LOJA  167,21351050,Ativo / Ativo,dpvento@hotmail.com,,
4048,VM VENTOS DOS MARES MODAS LTDA,J,"R GENARO LOMBA,166",DUQUE DE CAXIAS / RJ,2124503316,04.456.960/0001-11,77181024,,CENTRO,LOJA  A,25010060,Ativo / Ativo,dpvento@hotmail.com,,
4049,BRISA SMART VENTO DOS MARES MODAS 101 LTDA,J,"R CORONEL AGOSTINHO,101",RIO DE JANEIRO / RJ,2124502337,03.745.354/0001-53,77030310,,CAMPO GRANDE,FDS LJ 128,23050360,Ativo / Ativo,dpvento@hotmail.com,,
4050,CONFECCOES SCUDELER LTDA,J,"R VEREADOR ANTONIO MODENA,652",CERQUILHO / SP,15991165214,45.631.199/0001-94,265004076116,,RECANTO DAS ROSAS I,,18523268,Ativo / Inativo,lucimar@camucamu.com.br,,
4051,BRUNAT COMERCIO E CONFECCOES LTDA,J,"R ALMIRANTE BARROSO,1521",CERQUILHO / SP,15997742200,13.409.936/0001-12,265023530111,,SAO JOSE,,18520270,Ativo / Ativo,financeiro.cattai@cattai.com.br,,
4053,CHAUBERT COMERCIO DE VESTUARIO LTDA,J,"R RECANTO DO SOL,355",FLORIANOPOLIS / SC,48991431989,47.714.070/0001-75,262334917,,INGLESES DO RIO VERMELHO,BLOCO B,APT 203,88058577,Ativo / Ativo,,
4054,DISTRIBUIDORA ATRAENTE LTDA,J,"R DA CARIOCA,0",BAYEUX / PB,83987408800,13.061.173/0001-61,161788548,,CENTRO,,58306130,Ativo / Inativo,lojaspaloma10@gmail.com,,
4055,MELUTEX COMERCIO E IMPORTACAO DE ACESSORIOS TEXTEIS LTDA,J,"R IBIRAPUERA,1640",AMERICANA / SP,1934781130,62.760.517/0001-36,165102059110,,JARDIM IPIRANGA,,13468490,Ativo / Ativo,info@loubert.com.br,,
4057,ART LIMA CONFECCOES DE MURIAE LTDA,J,"R SARA DE JESUS GERVASIO,65",MURIAE / MG,32988709164,30.389.101/0001-67,31870850033,,SANTANA,,36887130,Ativo / Ativo,artlimaconfeccao@gmail.com,,
4058,ATELIER TEXTIL ESTAMPARIA LTDA,J,"R 11 DE JANEIRO,0",GOIANIA / GO,62981100330,54.397.960/0001-66,201319942,,VI AURORA OESTE,QUADRA102 LOTE  01,74425100,Inativo / Inativo,tecidosatelier@gmail.com,,
4060,ANA PAULA TRIGUEIRO ROCHA 04733881622,J,"R MARIA DA FE,343",BELO HORIZONTE / MG,3186032995,28.430.285/0001-10,30245830049,,SALGADO FILHO,,30550250,Ativo / Ativo,anapallatf@yahoo.com.br,,
4061,ACTION BRANDS COM DE ART ESP E VEST LTDA,J,"AV PRESIDENTE CASTELO BRANCO,6653",SAO PAULO / SP,1136188600,04.912.235/0001-00,116318831118,,PARQUE RESIDENCIAL DA LAPA,APT 15 BLOCO 1B,5034000,Ativo / Inativo,luciano.carlos@boardriders.com,,
4064,RODOMAIS TRANSPORTES LTDA,J,"ROD RJ 140,0",SAO PEDRO DA ALDEIA / RJ,3237224615,23.975.403/0003-13,11594379,,CAMPO REDONDO,,28942246,Ativo / Ativo,faturamento@rodomais.com.br,,
4065,BLANDS TECIDOS E CONFECCOES LTDA,J,"RUA ROZENDO MATHIAS NAZARETH,111",SANTA ISABEL / SP,1132132640,08.700.444/0001-41,616041870119,,CENTRO,A,7500000,Ativo / Ativo,blands.nfe@uol.com.br,,
4068,ORGANIZACOES GARRA UTILIDADES LTDA,J,"R ANTONIO CARLOS,1750",PARA DE MINAS / MG,3732323601,20.898.276/0005-70,4712860690340,,JARDIM AMERICA,LOJA 01,35660390,Ativo / Ativo,evandro@evandrocontabilidade.com.br,,
4069,TRANSPORTES TRANSLOVATO LTDA,J,"AV ARACY TANAKA BIAZETTO,9930",CASCAVEL / PR,5430262777,89.823.918/0038-36,9087252393,,PARQUE SAO PAULO,BRCAO B7,85803722,Ativo / Ativo,contabilidade@translovato.com.br,,
4070,BOTILI COMERCIO ONLINE DE ARTIGOS DE OPTICA LTDA,J,"R COMENDADOR CANTINHO,351",SAO PAULO / SP,1119999999,48.005.560/0001-65,136885253118,,PENHA DE FRANCA,CONJ 808,3603020,Ativo / Ativo,botili.sp@gmail.com,,
4071,ETEX COMERCIAL TEXTIL LTDA,J,"AV CARIOBA,2500",AMERICANA / SP,1934610413,55.719.751/0001-54,165077045116,,CARIOBA,ANEXO SALAO 05 E 07,13472717,Ativo / Ativo,etex@etextextil.com.br,,
4073,UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO,J,"R DOS INCONFIDENTES,44",BELO HORIZONTE / MG,3132295152,16.513.178/0001-76,ISENTO,,FUNCIONARIOS,,30140120,Ativo / Ativo,contab.fisco.regulatorio@unimedbh.com.br,,
4074,ROSA MINEIRA IND E COM DE CONFECCAO LTDA,J,"R ITAMARANDIBA,725",DIVINOPOLIS / MG,3732121478,13.982.612/0001-79,18086100090,,BOM PASTOR,,35500148,Ativo / Inativo,rosa.mineira@yahoo.com.br,,
4075,OKM COMERCIO E CONFECCOES LTDA,J,"R MENDES JUNIOR,279",SAO PAULO / SP,1133139095,47.730.325/0001-93,136744205119,,BRAS,,3013010,Ativo / Ativo,financeiro@tbtjeans.com.br,,
4076,LUCAS LOPES MORAIS DA SILVA 13440117642,J,"RUA ZE DO BENVINDO,455",PARA DE MINAS / MG,3732311114,36.731.353/0001-09,36981290014,,FAZENDA TERRA PRETA,CSA F,35660970,Ativo / Ativo,razaocontabilidade129@gmail.com,,
4077,RTX REPRESENTACOES LTDA ME,J,"R FREDERICH BANTING,144",MARINGA / PR,44999626808,54.789.017/0001-07,ISENTO,,JARDIM ALVORADA,,87035190,Ativo / Ativo,ronntextil@uol.com.br,,
4079,GUILHERME ALCINO SILVA 13471181601,J,"AV MARIA GUERRA,810",BOM DESPACHO / MG,37991081040,48.415.916/0001-39,44720360092,,DOM JOAQUIM,,35633274,Ativo / Inativo,guilhermealcinoe@hotmail.com,,
4080,CENTER CLEAN MAQUINAS E SERVICOS LTDA,J,"R PARACATU,45",BELO HORIZONTE / MG,3125550300,02.996.110/0001-80,620174700015,,BARRO PRETO,,30180090,Ativo / Ativo,controladoria@centercleanbh.com.br,,
4081,COMERCIAL JDL LTDA,J,"R GONCALO,38",PARA DE MINAS / MG,37991719131,53.300.194/0001-07,47849770072,,ESPLANADA,LETRA B,35660212,Ativo / Inativo,mjsmarcelo.1903@gmail.com,,
4082,KAIAMBA EMBALAGENS E ACESSORIOS LTDA,J,"R FERREIRA DE ARAUJO,221",SAO PAULO / SP,1437116060,32.884.472/0001-40,136746713116,,PINHEIROS,CONJ CONJ 122 EDIF PLANET WORK,5428000,Ativo / Ativo,joao.trancoso@mondore.com.br,,
4084,B & T TELECOMUNICACOES LTDA,J,"AV PROFESSOR MARIO WERNECK,1360",BELO HORIZONTE / MG,3133787499,11.209.836/0001-17,14474510054,,ESTORIL,LOJA 101,30455610,Ativo / Ativo,avenida.bh@terra.com.br,,
4085,KELLEN CRISTINA MORAES GOMES CONFECCOES,J,"AL RIO PARANAIBA,421",DIVINOPOLIS / MG,3799282916,13.616.688/0001-80,17702000031,,TIETE,,35502463,Ativo / Inativo,aresttafashion@hotmail.com,,
4087,MAILE TRANSPORTE DE CARGAS LTDA,J,"R VINTE E UM DE ABRIL,107",SAO PAULO / SP,1126937927,38.439.843/0001-61,129679261112,,BRAS,LETRA A,3047000,Ativo / Ativo,mw.transportes@hotmail.com,,
4088,JOSEFA LETICIA DA SILVA SANTOS 10410047457,J,"RUA ASSIS COSTA,37",RIACHO DAS ALMAS / PE,81981794414,40.937.357/0001-15,ISENTO,,SANTA TEREZINHA,,55120000,Ativo / Ativo,jsm095riachodasalmas@hotmail.com,,
4089,TIANINHO AFAIATE E LAVANDERIA LTDA,J,"RUA MONSENHOR MANCINI,219",SAO SEBASTIAO DO PARAISO / MG,3536601066,14.030.403/0001-98,18131790088,,VILA DALVA,LETRA: A,,37950000,Ativo / Ativo,,
4090,AZUL LINHAS AEREAS BRASILEIRAS S.A.,J,"R DOS HANGARES,10",BELO HORIZONTE / MG,3132953998,09.296.295/0013-01,11055330038,,AEROPORTO,GALPAO HANGAR 20,31710410,Ativo / Ativo,bhz01@azulcargo.com.br,,
4091,VANKOKE IND E COM DE CONFECCOES LTDA,J,"R MARCOS FALCAO,525",NATAL / RN,84991121455,06.263.465/0001-11,200968548,,DIX SEPT ROSADO,A,59060380,Ativo / Inativo,jorgevankoke1@hotmail.com,,
4092,LYNDON JONHSON CABRAL LTDA,J,"R PRESIDENTE LEAO VELOSO,464",NATAL / RN,8432231814,00.535.545/0001-00,200720708,,ALECRIM,LOJA  B                   LOJA  C                   LOJA  D,59032500,Ativo / Inativo,droff_financeiro@hotmai.com,,
4093,FABIO FERREIRA DE LIMA AZEVEDO,J,"AV SENADOR SALGADO FILHO,1718",NATAL / RN,84991030670,27.728.810/0001-15,204712440,,TIROL,BLOCO TIROL WAY OFFICE    LOJA  01,59022000,Ativo / Inativo,producao.crosby@outlook.com,,
4096,FENISK IND E COM DE CONFECCAO LTDA,J,"R OLIMPIO DE NORONHA,100",FORTALEZA / CE,8599629419,51.634.465/0001-35,71456210,,MONDUBIM,,60761580,Ativo / Inativo,fenisk.fabrica@gmail.com,,
4097,MAXMIX COMERCIAL LTDA,J,"ROD BR-356,3049",BELO HORIZONTE / MG,5121217000,03.002.339/0061-56,16827110486,,BELVEDERE,LOJA: BH17-A/B/C/D,30320900,Ativo / Ativo,csc.nucleodedocumentacao@lojasrenner.com.br,,
4098,JONAS RODRIGUES DE AMORIM 03900815828,J,"R SABIAUNA,28",SAO PAULO / SP,11954050065,18.624.853/0001-60,142662786115,,VILA NOVA CURUCA,,8032420,Ativo / Ativo,jonasdeamorim2@hotmail.com,,
4099,SM COMERCIO DE CONFECCOES E ACESSORIOS LTDA,J,"Q QI 13 LOTES 1 A,14",BRASILIA / DF,6181055109,12.362.934/0001-52,754538800120,,SETOR INDUSTRIAL (TAGUATINGA),BOX   16 E 17 ALA 31,72135130,Ativo / Inativo,stampmodas2010@gmail.com,,
4100,MERCIA OLIVEIRA BARBOSA GOMES 51828170615,J,"R ICANA,118",BELO HORIZONTE / MG,31998210360,48.133.427/0001-94,44531680030,,NOVA SUISSA,APT 401,30421305,Ativo / Ativo,maurafloroficial@gmail.com,,
4101,GOLDEN POLO CONFECCOES LTDA,J,"R ESPIRITO SANTO,1555",FERNANDOPOLIS / SP,17997725593,34.452.765/0001-84,304162017114,,COESTER,TERREOTERREO,15603078,Ativo / Bloqueado,golden.polo@hotmail.com,,
4102,CROSBY DISTRIBUICAO E CONFECCAO LTDA,J,"R SAO JOSE,2189",NATAL / RN,84991030670,17.177.680/0001-16,202787702,,LAGOA NOVA,LOTE  LOTE 61,59063150,Ativo / Ativo,producao.crosby@outlook.com,,
4103,LVBR INDUSTRIA E COMERCIO DE CONFECCOES LTDA,J,"AV ANTONIO AUGUSTO PAES,4364",VOTUPORANGA / SP,1796597442,25.167.410/0001-52,718161448116,,VILA PAES,,15500112,Ativo / Ativo,financeiro@lavibora.com.br,,
